id,@id,addr_city,addr_postc,addr_stree,addr_unit,amenity,brand,brand_wiki,brand_wi_1,bridge,created_by,highway,junction,lanes,layer,name,name_en,name_fr,old_name,oneway,operator,ref,shop,source,surface,tunnel
way/27362008,way/27362008,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/27362040,way/27362040,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/27362109,way/27362109,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/27362118,way/27362118,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,asphalt,
way/28823139,way/28823139,,,,,,,,,,,primary,roundabout,"2",,,,,,yes,,N 7,,,,
way/28915120,way/28915120,,,,,,,,,,,primary,roundabout,,,Place de l'OUA,,,,,,N 7,,,,
way/28915127,way/28915127,,,,,,,,,,,primary,,"3",,Làlana Ralaimongo,,Rue Ralaimongo,,,,N 7,,,,
way/28915149,way/28915149,,,,,,,,,,,primary,,"3","-1",Tunnel d'Ambohidahy,,,,,,N 7,,,,yes
way/28915150,way/28915150,,,,,,,,,,,primary,,"3",,,,,,,,N 7,,,,
way/28915257,way/28915257,,,,,,,,,,,primary,,"2",,Araben'ny Fahaleovantena,,Avenue de l'Indépendance,Avenue de la Libération,yes,,N 7,,,,
way/28915271,way/28915271,,,,,,,,,,,primary,,"2",,Araben'ny Fahaleovantena,,Avenue de l'Indépendance,Avenue de la Libération,yes,,N 7,,,,
way/28930045,way/28930045,,,,,,,,,,,primary,,,,Araben'ny 26 Jona 1960,,Avenue du 26 Juin 1960,,,,N 7,,,,
way/30321431,way/30321431,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,yahoo,,
way/30583704,way/30583704,,,,,,,,,yes,Potlatch 0.10f,primary,,,"1",,,,,yes,,N 7,,yahoo,,
way/30583899,way/30583899,,,,,,,,,,Potlatch 0.10f,primary,,,,,,,,yes,,N 7,,yahoo,,
way/31233797,way/31233797,,,,,,,,,yes,,primary,,,"1",,,,,yes,,N 7,,yahoo,,
way/45181094,way/45181094,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/45181097,way/45181097,,,,,,,,,,,primary,,"2",,,,,,yes,,N 7,,,,
way/45181098,way/45181098,,,,,,,,,,,primary,,"2",,,,,,yes,,N 7,,,,
way/45181100,way/45181100,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/45478182,way/45478182,,,,,,,,,,,primary,,"2",,Làlana Mohamed V,,Rue Mohamed V,,yes,,N 7,,,,
way/76833493,way/76833493,,,,,,,,,,,primary,,,,,,,,,,N 7,,yahoo,asphalt,
way/76833494,way/76833494,,,,,,,,,yes,,primary,,,"1",,,,,,,N 7,,yahoo,asphalt,
way/77338147,way/77338147,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,asphalt,
way/119369725,way/119369725,,,,,,,,,,,primary,,"2",,Araben'ny Fahaleovantena,,Avenue de l'Indépendance,Avenue de la Libération,yes,,N 7,,,,
way/186254005,way/186254005,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/186254012,way/186254012,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/186255403,way/186255403,,,,,,,,,,,primary,roundabout,"2",,,,,,yes,,N 7,,,,
