id,@id,addr_city,addr_postc,addr_stree,addr_unit,amenity,brand,brand_wiki,brand_wi_1,bridge,created_by,highway,junction,lanes,layer,name,name_en,name_fr,old_name,oneway,operator,ref,shop,source,surface,tunnel
node/614389229,node/614389229,,,,,fuel,Total,,,,,,,,,Manja,Total MANJA,,,,Total,,kiosk,,,
node/614403707,node/614403707,,,,,fuel,Total,,,,,,,,,Isoanifanaovana,,,,,Total,,kiosk,,,
node/614403710,node/614403710,,,,,fuel,Galana,,,,,,,,,Valiha,,,,,Galana,,kiosk,,,
node/616734925,node/616734925,,,,,fuel,Jovena,,,,,,,,,Domoina,Jovena DOMOINA,,,,Jovena,,,,,
node/616734958,node/616734958,,,,,fuel,Shell,,,,,,,,,Fitiavana,,,,,Shell,,,,,
node/616734976,node/616734976,,,,,fuel,Galana,,,,,,,,,Nirina,,GALANA,,,Galana,,kiosk,,,
node/616757179,node/616757179,,,,,fuel,Shell,Q110716465,,,,,,,,Voanio,,,,,Shell,,,,,
node/620818083,node/620818083,,,,,fuel,Galana,,,,,,,,,Galana,,,,,Galana,,,,,
node/620818084,node/620818084,,,,,fuel,Galana,,,,,,,,,Tsarafaritra,,,,,Galana,,,,,
node/620818092,node/620818092,,,,,fuel,Shell,Q110716465,,,,,,,,Havozo,,,,,Shell,,,,,
node/620818101,node/620818101,,,,,fuel,Total,Q154037,fr:TotalEnergies,,,,,,,Fierenana,,,,,Total,,,,,
node/620818103,node/620818103,,,,,fuel,Galana,,,,,,,,,GALAN Avana,Galana AVANA,,,,Galana,,,,,
node/620818107,node/620818107,,,,,fuel,Shell,,,,,,,,,Ravinala,,,,,Shell,,,,,
node/620824093,node/620824093,,,,,fuel,Jovena,,,,,,,,,Ampasika,,,,,Jovena,,,,,
node/620900962,node/620900962,,,,,fuel,Galana,,,,,,,,,Anjoma,,,,,Galana,,,,,
node/620900986,node/620900986,,,,,fuel,Shell,,,,,,,,,Tselatra,,SHELL TSELATRA,,,Shell,,,,,
node/667740294,node/667740294,Antananarivo,"101",,Ambatoroka,fuel,Shell,,,,,,,,,Station d'Essence Ambatoroka,,,,,Shell,,,,,
node/667889067,node/667889067,,,,,fuel,Jovena Premium,,,,,,,,,JOVENA Antaninandro,,,,,Jovena,,,,,
node/669223708,node/669223708,,,,,fuel,Total,,,,,,,,,Kininina,Total KINININA,,,,Total,,,,,
node/686271698,node/686271698,,,,,fuel,,,,,,,,,,,,,,,Total,,,,,
node/845724565,node/845724565,,,,,fuel,Shell,,,,,,,,,Tsarahonenana,,,,,Shell,,,,,
node/845724577,node/845724577,,,,,fuel,Galana,,,,,,,,,Miary-Tsoa,,,,,Galana,,,,,
node/845854257,node/845854257,,,,,fuel,Jovena,,,,,,,,,Mevasoa,,,,,Jovena,,,,,
node/845937324,node/845937324,,,,,fuel,Jovena,,,,,,,,,Imaitsoanala,,,,,Jovena,,,,,
node/845947785,node/845947785,,,,,fuel,Shell,,,,,,,,,Manakambahiny,,,,,Shell,,,,,
node/1319959767,node/1319959767,,,,,fuel,,,,,,,,,,,,,,,Total,,,,,
node/1497192447,node/1497192447,,,,,fuel,Galana,,,,,,,,,Kintana,Galana KINTANA,,,,Galana,,,,,
node/1497192977,node/1497192977,,,,,fuel,Shell,,,,,,,,,Tsiferana,,,,,Shell,,,,,
node/1497195528,node/1497195528,,,,,fuel,Galana,,,,,,,,,Station GALANA IARIVO,Galana IARIVO Soanierana,,,,,,,,,
node/3549643051,node/3549643051,Antananarivo,"101",Rue Pasteur,,fuel,Total,,,,,,,,,Station Service TOTAL,,,,,Total,,,,,
node/4292241290,node/4292241290,,,,,fuel,,,,,,,,,,,,,,,Shell,,,,,
node/8446375784,node/8446375784,,,,,fuel,Shell,,,,,,,,,Shell Ankoay,,,,,Shell,,kiosk,,,
node/8457444138,node/8457444138,,,,,fuel,Galana,,,,,,,,,Galana Taratra Andrefanambohijanahary,,,,,Galana,,yes,,,
node/8527665840,node/8527665840,,,,,fuel,,,,,,,,,,Galana Taratra,,,,,,,kiosk,,,
node/9229767617,node/9229767617,,,,,fuel,,,,,,,,,,,,JOVENA Tanikely,,,,,,,,
node/10946861903,node/10946861903,,,,,fuel,,,,,,,,,,Total Ankadimbahoaka,,,,,,,,,,
node/11422760670,node/11422760670,,,,,fuel,,,,,,,,,,,Shell Anosizato,Shell Anosizato,,,,,,,,
